序,年份,文章标题,导师论文署名单位,论文对应经历阶段,统一研究主题,研究问题,采用方法,应用领域,证据位置,未完成事项序号
126,2011,Formalization and Rules for Recognition of Satirical Irony,北京语言大学,本科；北京语言大学；2011毕业,讽刺与反语识别,情感分析如何区分讽刺、反语和讽刺性反语？,明确术语定义，讨论表达层级并归纳可形式化和暂不可形式化的特征。,讽刺与反语识别,"论文信息汇总.csv 序126：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2011_Formalization and Rules for Recognition of Satirical Irony.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://ikekonglp.github.io/paper/ialp11a.pdf；访问2026-09-17。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“2011 International Conference on Asian Language Processing”。
原文摘要依据：“Satirical irony is a very important language phenomena. Its recognition is of great importance to sentiment analysis. However, researches on this topic are still quite rare and existing studies have p”。",P126-C;P126-R
127,2011,Improving Chinese Dependency Parsing with Self-Disambiguating Patterns,NEC中国研究院,NEC中国研究院；研究实习；2011,句法分析与结构化表示,中文依存分析如何减少数据稀疏和自动解析错误？,以自消歧模式提取带标签依存三元组，再通过标签传播扩展并接入MST解析器。,句法分析与结构化表示,"论文信息汇总.csv 序127：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2011_Improving Chinese Dependency Parsing with Self-Disambiguating Patterns.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://ikekonglp.github.io/paper/ialp11b.pdf；访问2026-09-17。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“2011 International Conference on Asian Language Processing”。
原文摘要依据：“To solve the data sparseness problem in dependency parsing, most previous studies used features constructed from large-scale auto-parsed data. Unlike previous work, we propose a new approach to improv”。",P127-C;P127-R;P127-V
7,2014,An Empirical Comparison of Parsing Methods for Stanford Dependencies,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,获得Stanford依存结构时，准确率与速度如何取舍？,比较分析算法、词性输入、替代依存表示和分布式词表示。,句法分析与结构化表示,"论文信息汇总.csv 序7：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2014_An Empirical Comparison of Parsing Methods for Stanford Dependencies.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1404.4314；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“Stanford typed dependencies are a widely desired representation of natural language sentences, but parsing is one of the major computational bottlenecks in text analysis systems. In light of the evolv”。",P7-C;P7-A;P7-R
124,2014,A Dependency Parser for Tweets,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,新闻语料训练的句法分析器如何适应非规范推文？,构建Tweebank标注语料，调整统计解析算法并利用域外Penn Treebank。,句法分析与结构化表示,"论文信息汇总.csv 序124：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2014_A Dependency Parser for Tweets.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/D14-1108/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP), pages 1001–1012,”。
原文摘要依据：“We describe a new dependency parser for English tweets, TWEEBOPARSER. The parser builds on several contributions: new syntactic annotations for a corpus of tweets (TWEEBANK), with conventions informed”。",P124-C;P124-A;P124-R
125,2014,Dependency Parsing for Weibo: An Efficient Probabilistic Logic Programming Approach,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,微博文本的噪声和领域差异如何影响中文依存分析？,建立超过18000词元的微博树库，以可编程概率一阶逻辑并行预测依存弧。,句法分析与结构化表示,"论文信息汇总.csv 序125：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2014_Dependency Parsing for Weibo_ An Efficient Probabilistic Logic Programming Approach.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/D14-1122/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing (EMNLP), pages 1152–1158,”。
原文摘要依据：“Dependency parsing is a core task in NLP, and it is widely used by many applications such as information extraction, question answering, and machine translation. In the era of social media, a big chal”。",P125-C;P125-A;P125-R
122,2015,Bayesian Optimization of Text Representations,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,文本表示与自动优化,文本分类中如何自动选择词频、词组和正则化等表示配置？,使用序贯模型优化联合搜索文本表示与超参数。,文本表示与自动优化,"论文信息汇总.csv 序122：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2015_Bayesian Optimization of Text Representations.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/D15-1251/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing, pages 2100–2105,”。
原文摘要依据：“When applying machine learning to problems in NLP, there are many choices to make about how to represent input texts. They can have a big effect on performance, but they are often uninteresting to res”。",P122-C;P122-A;P122-R
123,2015,Transforming Dependencies into Phrase Structures,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,如何把依存树快速转换成高质量短语结构树？,将依存到短语结构转换建模为结构化预测，并进行粗到细解码。,句法分析与结构化表示,"论文信息汇总.csv 序123：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2015_Transforming Dependencies into Phrase Structures.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/N15-1080/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
原文摘要依据：“We present a new algorithm for transforming dependency parse trees into phrase-structure parse trees. We cast the problem as structured prediction and learn a statistical model. Our algorithm is faste”。",P123-C;P123-A;P123-R
130,2015,ACBiMA: Advanced Chinese Bi-Character Word Morphological Analyzer,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,中文构词分析,如何覆盖双字中文词的派生与复合构词结构？,构建细分类型方案和约11000词语料，训练构词分类器。,中文构词分析,"论文信息汇总.csv 序130：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2015_ACBiMA_ Advanced Chinese Bi-Character Word Morphological Analyzer.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/W15-3105/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第13页；版本2026-01-27。
PDF发表标记：“Proceedings of the Eighth SIGHAN Workshop on Chinese Language Processing (SIGHAN-8), pages 26–31,”。
原文摘要依据：“While morphological information has been demonstrated to be useful for various Chinese NLP tasks, there is still a lack of complete theories, category schemes, and toolkits for Chinese morphology. Thi”。",P130-C;P130-A;P130-R
119,2016,Segmental Recurrent Neural Networks for End-to-end Speech Recognition,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,语音识别与分段建模,声学建模如何在没有外部分段的情况下端到端训练？,联合循环特征提取与分段CRF，对所有分段边界进行边缘化。,语音识别与分段建模,"论文信息汇总.csv 序119：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2016_Segmental Recurrent Neural Networks for End-to-end Speech Recognition.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1603.00223；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
原文摘要依据：“We study the segmental recurrent neural network for end-to-end acoustic modelling. This model connects the segmental conditional random field (CRF) with a recurrent neural network (RNN) used for featu”。",P119-C;P119-A;P119-R;P119-F
120,2016,Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser,卡内基梅隆大学,硕士/博士阶段待核验（CMU学位完成于2015/2017，入学时间未公开）,句法分析与结构化表示,多个依存分析器的知识如何压缩到一个结构化模型？,用最小贝叶斯风险共识与包含集成不确定性的结构化铰链损失蒸馏。,句法分析与结构化表示,"论文信息汇总.csv 序120：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2016_Distilling an Ensemble of Greedy Dependency Parsers into One MST Parser.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/D16-1180/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2016 Conference on Empirical Methods in Natural Language Processing, pages 1744–1753,”。
原文摘要依据：“We introduce two first-order graph-based dependency parsers achieving a new state of the art. The first is a consensus parser built from an ensemble of independently trained greedy LSTM transition-bas”。",P120-C;P120-A;P120-R
