序,论文标题,年份,作者,发表载体,条目类型,论文链接,被引次数,引用统计日期,引用来源网址,抓取日期,下载状态,备注
1,Learning and Evaluating General Linguistic Intelligence,2019,Dani Yogatama；Cyprien de Masson d’Autume；Jerome Connor；Tomas Kocisky；Mike Chrzanowski；Lingpeng Kong；Angeliki Lazaridou；Wang Ling；Lei Yu；Chris Dyer；Phil Blunsom,", arXiv:1901.11373, February 2019.",预印本,"https://arxiv.org/pdf/1901.11373.pdf
https://arxiv.org/abs/1901.11373",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。"
2,Neural Phrase-to-Phrase Machine Translation,2018,Jiangtao Feng；Lingpeng Kong；Po-Sen Huang；Chong Wang；Da Huang；Jiayuan Mao；Kan Qiao；Dengyong Zhou,", arXiv:1811.02172, November 2018.",预印本,"https://arxiv.org/pdf/1811.02172.pdf
https://arxiv.org/abs/1811.02172",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序2：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Neural Phrase-to-Phrase Machine Translation.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.02172；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“In this paper, we propose Neural Phrase-to-Phrase Machine Translation (NP$^2$MT). Our model uses a phrase attention mechanism to discover relevant input (source) segments that are used by a decoder to”。"
3,Sentence Encoding with Tree-constrained Relation Networks,2018,Lei Yu；Cyprien de Masson d’Autume；Chris Dyer；Phil Blunsom；Lingpeng Kong；Wang Ling,", arXiv:1811.10475, November 2018.",预印本,"https://arxiv.org/pdf/1811.10475.pdf
https://arxiv.org/abs/1811.10475",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序3：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Sentence Encoding with Tree-constrained Relation Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.10475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networ”。"
4,SyntaxNet Models for the CoNLL 2017 Shared Task,2017,Chris Alberti；Daniel Andor；Ivan Bogatyy；Michael Collins；Dan Gillick；Lingpeng Kong；Terry Koo；Ji Ma；Mark Omernick；Slav Petrov；Chayut Thanapirom；Zora Tung；David Weiss,", arXiv:1703.04929, March 2017. [ Link ]",预印本,"https://arxiv.org/pdf/1703.04929.pdf
http://universaldependencies.org/conll17/
https://arxiv.org/abs/1703.04929",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序4：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_SyntaxNet Models for the CoNLL 2017 Shared Task.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1703.04929；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We describe a baseline dependency parsing system for the CoNLL2017 Shared Task. This system, which we call ""ParseySaurus,"" uses the DRAGNN framework [Kong et al, 2017] to combine transition-based recu”。"
5,DRAGNN: A Transition-based Framework for Dynamically Connected Neural Networks,2017,Lingpeng Kong；Chris Alberti；Daniel Andor；Ivan Bogatyy；David Weiss,", arXiv:1703.04474, March 2017. [ GitHub ][ Google AI Blog ]",预印本,"https://arxiv.org/pdf/1703.04474.pdf
https://github.com/tensorflow/models/tree/master/research/syntaxnet
https://ai.googleblog.com/2017/03/an-upgrade-to-syntaxnet-new-models-and.html
https://arxiv.org/abs/1703.04474",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序5：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_DRAGNN_ A Transition-based Framework for Dynamically Connected Neural Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1703.04474；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“In this work, we present a compact, modular framework for constructing novel recurrent neural architectures. Our basic module is a new generic unit, the Transition Based Recurrent Unit (TBRU). In addi”。"
6,DyNet: The Dynamic Neural Network Toolkit,2017,Graham Neubig；Chris Dyer；Yoav Goldberg；Austin Matthews；Waleed Ammar；Antonios Anastasopoulos；Miguel Ballesteros；David Chiang；Daniel Clothiaux；Trevor Cohn；Kevin Duh；Manaal Faruqui；Cynthia Gan；Dan Garrette；Yangfeng Ji；Lingpeng Kong；Adhiguna Kuncoro；Gaurav Kumar；Chaitanya Malaviya；Paul Michel；Yusuke Oda；Matthew Richardson；Naomi Saphra；Swabha Swayamdipta；Pengcheng Yin,", arXiv:1701.03980, January 2017. [ GitHub ]",预印本,"https://arxiv.org/pdf/1701.03980.pdf
https://github.com/clab/dynet
https://arxiv.org/abs/1701.03980",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序6：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2017_DyNet_ The Dynamic Neural Network Toolkit.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1701.03980；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We describe DyNet, a toolkit for implementing neural network models based on dynamic declaration of network structure. In the static declaration strategy that is used in toolkits like Theano, CNTK, an”。"
7,An Empirical Comparison of Parsing Methods for Stanford Dependencies,2014,Lingpeng Kong；Noah A. Smith,Journal papers,预印本,"https://arxiv.org/pdf/1404.4314.pdf
http://www.cs.cmu.edu/~ark/TBSD/
https://arxiv.org/abs/1404.4314",未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序7：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2014_An Empirical Comparison of Parsing Methods for Stanford Dependencies.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1404.4314；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“Stanford typed dependencies are a widely desired representation of natural language sentences, but parsing is one of the major computational bottlenecks in text analysis systems. In light of the evolv”。"
8,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,2025,Xiachong Feng；Longxu Dou；Minzhi Li；Qinghao Wang；Yu Guo；Haochuan Wang；Chang Ma；Lingpeng Kong,TMLR,期刊,https://arxiv.org/abs/2412.03920,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序8：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2412.03920；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (05/2025)”。
原文摘要依据：“Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings”。"
9,Autoregressive Models in Vision: A Survey,2025,Jing Xiong；Gongye Liu；Lun Huang；Chengyue Wu；Taiqiang Wu；Yao Mu；Yuan Yao；Hui Shen；Zhongwei Wan；Jinfa Huang；Chaofan Tao；Shen Yan；Huaxiu Yao；Lingpeng Kong；Hongxia Yang；Mi Zhang；Guillermo Sapiro；Jiebo Luo；Ping Luo；Ngai Wong,TMLR,期刊,https://arxiv.org/abs/2411.05902,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序9：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2025_Autoregressive Models in Vision_ A Survey.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2411.05902；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
PDF发表标记：“Published in Transactions on Machine Learning Research (03/2025)”。
原文摘要依据：“Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where”。"
10,Linearized Relative Positional Encoding,2023,Zhen Qin；Weixuan Sun；Kaiyue Lu；Dongxu Li；Xiaodong Han；Yuchao Dai；Lingpeng Kong；Yiran Zhong,TMLR,期刊,https://arxiv.org/abs/2307.09270,未获取,未获取,未获取,2026-09-17,已下载,"来源：CV；arXiv；访问2026-09-17；非Scholar全量成果。
Scholar访问失败，引用未获取（2026-09-17）。
论文信息汇总.csv 序10：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2023_Linearized Relative Positional Encoding.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/2307.09270；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“Relative positional encoding is widely used in vanilla and linear transformers to represent positional information. However, existing encoding methods of a vanilla transformer are not always directly ”。"
