序号,导师姓名,论文标题,年份,尝试过的链接,失败原因,下一步建议
P1-C,"Kong, Lingpeng",Learning and Evaluating General Linguistic Intelligence,2019,"https://arxiv.org/pdf/1901.11373.pdf
https://arxiv.org/abs/1901.11373",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P1-A,"Kong, Lingpeng",Learning and Evaluating General Linguistic Intelligence,2019,"https://arxiv.org/pdf/1901.11373.pdf
https://arxiv.org/abs/1901.11373",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P1-R,"Kong, Lingpeng",Learning and Evaluating General Linguistic Intelligence,2019,"https://arxiv.org/pdf/1901.11373.pdf
https://arxiv.org/abs/1901.11373",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P2-C,"Kong, Lingpeng",Neural Phrase-to-Phrase Machine Translation,2018,"https://arxiv.org/pdf/1811.02172.pdf
https://arxiv.org/abs/1811.02172",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P2-A,"Kong, Lingpeng",Neural Phrase-to-Phrase Machine Translation,2018,"https://arxiv.org/pdf/1811.02172.pdf
https://arxiv.org/abs/1811.02172",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P2-R,"Kong, Lingpeng",Neural Phrase-to-Phrase Machine Translation,2018,"https://arxiv.org/pdf/1811.02172.pdf
https://arxiv.org/abs/1811.02172",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P3-C,"Kong, Lingpeng",Sentence Encoding with Tree-constrained Relation Networks,2018,"https://arxiv.org/pdf/1811.10475.pdf
https://arxiv.org/abs/1811.10475",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P3-A,"Kong, Lingpeng",Sentence Encoding with Tree-constrained Relation Networks,2018,"https://arxiv.org/pdf/1811.10475.pdf
https://arxiv.org/abs/1811.10475",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P3-R,"Kong, Lingpeng",Sentence Encoding with Tree-constrained Relation Networks,2018,"https://arxiv.org/pdf/1811.10475.pdf
https://arxiv.org/abs/1811.10475",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P4-C,"Kong, Lingpeng",SyntaxNet Models for the CoNLL 2017 Shared Task,2017,"https://arxiv.org/pdf/1703.04929.pdf
http://universaldependencies.org/conll17/
https://arxiv.org/abs/1703.04929",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P4-A,"Kong, Lingpeng",SyntaxNet Models for the CoNLL 2017 Shared Task,2017,"https://arxiv.org/pdf/1703.04929.pdf
http://universaldependencies.org/conll17/
https://arxiv.org/abs/1703.04929",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P4-R,"Kong, Lingpeng",SyntaxNet Models for the CoNLL 2017 Shared Task,2017,"https://arxiv.org/pdf/1703.04929.pdf
http://universaldependencies.org/conll17/
https://arxiv.org/abs/1703.04929",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P5-C,"Kong, Lingpeng",DRAGNN: A Transition-based Framework for Dynamically Connected Neural Networks,2017,"https://arxiv.org/pdf/1703.04474.pdf
https://github.com/tensorflow/models/tree/master/research/syntaxnet
https://ai.googleblog.com/2017/03/an-upgrade-to-syntaxnet-new-models-and.html
https://arxiv.org/abs/1703.04474",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P5-A,"Kong, Lingpeng",DRAGNN: A Transition-based Framework for Dynamically Connected Neural Networks,2017,"https://arxiv.org/pdf/1703.04474.pdf
https://github.com/tensorflow/models/tree/master/research/syntaxnet
https://ai.googleblog.com/2017/03/an-upgrade-to-syntaxnet-new-models-and.html
https://arxiv.org/abs/1703.04474",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P5-R,"Kong, Lingpeng",DRAGNN: A Transition-based Framework for Dynamically Connected Neural Networks,2017,"https://arxiv.org/pdf/1703.04474.pdf
https://github.com/tensorflow/models/tree/master/research/syntaxnet
https://ai.googleblog.com/2017/03/an-upgrade-to-syntaxnet-new-models-and.html
https://arxiv.org/abs/1703.04474",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P6-C,"Kong, Lingpeng",DyNet: The Dynamic Neural Network Toolkit,2017,"https://arxiv.org/pdf/1701.03980.pdf
https://github.com/clab/dynet
https://arxiv.org/abs/1701.03980",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P6-A,"Kong, Lingpeng",DyNet: The Dynamic Neural Network Toolkit,2017,"https://arxiv.org/pdf/1701.03980.pdf
https://github.com/clab/dynet
https://arxiv.org/abs/1701.03980",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
P6-R,"Kong, Lingpeng",DyNet: The Dynamic Neural Network Toolkit,2017,"https://arxiv.org/pdf/1701.03980.pdf
https://github.com/clab/dynet
https://arxiv.org/abs/1701.03980",通讯作者名单未找到明确标记；作者顺序不能代替通讯身份；核验日期2026-09-17,核对正式版首页或出版方通讯标记；仍无标记保留待核验
P7-C,"Kong, Lingpeng",An Empirical Comparison of Parsing Methods for Stanford Dependencies,2014,"https://arxiv.org/pdf/1404.4314.pdf
http://www.cs.cmu.edu/~ark/TBSD/
https://arxiv.org/abs/1404.4314",Scholar个人主页未确认，条目引用量及引用日期未获取；核验日期2026-09-17,确认Scholar个人用户ID后逐条读取，不以空白或超时代替0
P7-A,"Kong, Lingpeng",An Empirical Comparison of Parsing Methods for Stanford Dependencies,2014,"https://arxiv.org/pdf/1404.4314.pdf
http://www.cs.cmu.edu/~ark/TBSD/
https://arxiv.org/abs/1404.4314",导师阶段或部分作者单位映射未确认；见时间线与汇总表的具体待核验字段；核验日期2026-09-17,按已记录PDF首页和CV时间线补齐单位标记；不以年份或当前单位倒推
