姓名,论文署名单位,当前单位,身份,职称,与导师的关系,共同论文数,首次合作年份,最近合作年份,共同研究方向,共同项目,关系证据,待核验问题,共同论文序号
Dani Yogatama,"2015；论文#122；卡内基梅隆大学
2019；论文#1；Google DeepMind
2019；论文#115；待核验
2019；论文#116；Google DeepMind
2020；论文#13；Google DeepMind
2020；论文#114；Google DeepMind
2021；论文#12；Google DeepMind
2021；论文#113；待核验
2022；论文#101；Google DeepMind
2022；论文#108；Google DeepMind
2022；论文#132；待核验",南加州大学；Reka AI,2016-2022；DeepMind；CMU博士2010-2015；当前USC任职起始待核验,副教授；首席执行官,同门；论文合作者,11,2015,2022,文本表示与自动优化；语言迁移与学习能力评测；语言建模与记忆；句法分析与结构化表示；高效注意力与序列架构；可控文本生成与一致性,未公开,https://dyogatama.github.io/；访问2026-09-17；原文依据：“Noah A. Smith”。历史指导/时间另见https://ikekonglp.github.io/lingpenk_cv.pdf第1-2页（版本2026-01-27）；校友更新见https://hkunlp.github.io/people/。核验状态：公开身份部分确认；局限见待核验问题。,"与孔令鹏同一博士导师有CV/主页支持；不能只凭DeepMind重叠经历认定同部门同事。
具体论文问题：P122-C;P122-A;P122-R;P1-C;P1-A;P1-R;P115-C;P115-D;P115-A;P115-R;P115-F;P116-C;P116-A;P116-R;P13-C;P13-A;P13-R;P114-C;P114-A;P114-R;P114-F;P12-C;P12-A;P12-R;P113-C;P113-A;P113-R;P101-C;P101-R;P101-F;P108-C;P108-R;P132-C;P132-D;P132-A;P132-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。;CP4;CP5;CP6;CP7;CP8;CP9;CP10;CP11;CP12;CP13;CP14;CP15",122;1;115;116;13;114;12;113;101;108;132
Cyprien de Masson d’Autume（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/cyprien-de-masson-d-autume/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Cyprien de Masson d’Autume（论文 #3，身份待核验）,2018；论文#3；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序3：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2018_Sentence Encoding with Tree-constrained Relation Networks.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1811.10475；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networ”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/cyprien-de-masson-d-autume/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P3-C;P3-A;P3-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",3
Cyprien de Masson d’Autume（论文 #12，身份待核验）,2021；论文#12；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言建模与记忆,未公开,"论文信息汇总.csv 序12：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Adaptive Semiparametric Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.tacl-1.22/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We present a language model that combines a large parametric neural network (i.e., a transformer) with a non-parametric episodic memory component in an integrated architecture. Our model uses extended”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/cyprien-de-masson-d-autume/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P12-C;P12-A;P12-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",12
Cyprien de Masson d’Autume（论文 #114，身份待核验）,2020；论文#114；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,句法分析与结构化表示,未公开,"论文信息汇总.csv 序114：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2020_A Mutual Information Maximization Perspective of Language Representation Learning.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1910.08350；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“We show state-of-the-art word representation learning methods maximize an objective function that is a lower bound on the mutual information between different parts of a word sequence (i.e., a sentenc”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/cyprien-de-masson-d-autume/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P114-C;P114-A;P114-R;P114-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",114
Cyprien de Masson d’Autume（论文 #115，身份待核验）,2019；论文#115；待核验,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言建模与记忆,未公开,"论文信息汇总.csv 序115：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
仅取得可靠元数据或摘要；未取得可读全文。
https://arxiv.org/abs/1906.01076；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第11页；版本2026-01-27。
原文摘要依据：“We introduce a lifelong language learning setup where a model needs to learn from a stream of text examples without any dataset identifier. We propose an episodic memory model that performs sparse exp”。
仅确认论文内原姓名署名；跨论文身份未确认。https://aclanthology.org/people/cyprien-de-masson-d-autume/unverified/","身份待核验；按单篇保留，不跨论文合并同名者。达到重点候选筛选阈值；已查可定位来源，身份/历史履历仍未确认。
具体论文问题：P115-C;P115-D;P115-A;P115-R;P115-F
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",115
Jerome Connor（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Tomas Kocisky（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Mike Chrzanowski（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
Angeliki Lazaridou（论文 #1，身份待核验）,2019；论文#1；Google DeepMind,待核验,身份待核验,待核验,论文合作者（身份待核验）,待核验,待核验,待核验,语言迁移与学习能力评测,未公开,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
仅确认论文内原姓名署名；跨论文身份未确认。","身份待核验；按单篇保留，不跨论文合并同名者。待核验（未深查）；原姓名整体未达到重点阈值。
具体论文问题：P1-C;P1-A;P1-R
完整Scholar/DBLP论文列表及CCF/CORE目录未获取；当前公开材料可能漏项。",1
