合作者姓名,论文标题,年份,角色,关键词,是否与目标导师合著,来源及核验依据
Dani Yogatama,Bayesian Optimization of Text Representations,2015,一作（按作者顺序）,分析提取：文本表示；贝叶斯优化；超参数；主题分类；情感分析,是,"论文信息汇总.csv 序122：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2015_Bayesian Optimization of Text Representations.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/D15-1251/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第12页；版本2026-01-27。
PDF发表标记：“Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing, pages 2100–2105,”。
原文摘要依据：“When applying machine learning to problems in NLP, there are many choices to make about how to represent input texts. They can have a big effect on performance, but they are often uninteresting to res”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Dani Yogatama,Learning and Evaluating General Linguistic Intelligence,2019,一作（按作者顺序）,分析提取：知识迁移；在线编码；学习效率；灾难性遗忘；语言理解,是,"论文信息汇总.csv 序1：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2019_Learning and Evaluating General Linguistic Intelligence.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://arxiv.org/abs/1901.11373；访问2026-09-17；arXiv作者顺序和摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第3页；版本2026-01-27。
原文摘要依据：“We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. ”。
；一作（按作者顺序）；预印本，等级不适用。"
Dani Yogatama,Adaptive Semiparametric Language Models,2021,一作（按作者顺序）,分析提取：语言建模；近邻检索；门控；短期记忆；长期记忆,是,"论文信息汇总.csv 序12：摘要、研究内容、创新点；内容仅据摘要/Introduction归纳。
PDF：港大/Kong, Lingpeng/论文/2021_Adaptive Semiparametric Language Models.pdf；第1页标题、作者单位与摘要；Introduction在已保存前3页内。
https://aclanthology.org/2021.tacl-1.22/；访问2026-09-17；ACL作者顺序、发表信息与摘要。
CV：https://ikekonglp.github.io/lingpenk_cv.pdf；第4页；版本2026-01-27。
原文摘要依据：“We present a language model that combines a large parametric neural network (i.e., a transformer) with a non-parametric episodic memory component in an integrated architecture. Our model uses extended”。
；一作（按作者顺序）；CCF/CORE/期刊分区未核验；未取得适用目录版本。"
Dani Yogatama,Embedding Methods for Fine Grained Entity Type Classification,2048,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/P15-2048/；访问2026-09-17；可见作者原文：“Dani Yogatama, Daniel Gillick, Nevena Lazic”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Extractive Summarization by Maximizing Semantic Volume,2015,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/D15-1228/；访问2026-09-17；可见作者原文：“Dani Yogatama, Fei Liu, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Dynamic Language Models for Streaming Text,未公开,一作（按作者顺序）,分析提取：语言模型；机器学习；数据,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/Q14-1015/；访问2026-09-17；可见作者原文：“Dani Yogatama, Chong Wang, Bryan R. Routledge, Noah A. Smith, Eric P. Xing”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Linguistic Structured Sparsity in Text Categorization,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/P14-1074/；访问2026-09-17；可见作者原文：“Dani Yogatama, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,A Probabilistic Model for Canonicalizing Named Entity Mentions,未公开,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://aclanthology.org/people/dani-yogatama/unverified/；论文链接https://aclanthology.org/P12-1072/；访问2026-09-17；可见作者原文：“Dani Yogatama, Yanchuan Sim, Noah A. Smith”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Memory Architectures in Recurrent Neural Network Language Models,2018,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://dyogatama.github.io/publications.html；论文链接https://openreview.net/pdf?id=SkFqf0lAZ；访问2026-09-17；可见作者原文：“Dani Yogatama, Yishu Miao, Gabor Melis, Wang Ling, Adhiguna Kuncoro, Chris Dyer, and Phil Blunsom.”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
Dani Yogatama,Learning to Compose Words into Sentences with Reinforcement Learning,2017,一作（按作者顺序）,未公开（未获得可支持关键词提取的摘要）,否,"https://dyogatama.github.io/publications.html；论文链接https://arxiv.org/abs/1611.09100；访问2026-09-17；可见作者原文：“Dani Yogatama, Phil Blunsom, Chris Dyer, Edward Grefenstette, and Wang Ling.”；一作（按作者顺序）。年份未公开时不从arXiv编号倒推。CCF/CORE/期刊分区未核验。"
