"姓名","院系"
"Cao, Yuan","人工智能与数据科学系"
"Chan, Hubert T.H.","计算机科学系"
"Chen, Ho","计算机科学系"
"Chen, Yi","计算机科学系"
"Cheng, Reynold C.K.","人工智能与数据科学系"
"Chim, Tat Wing","人工智能与数据科学系；计算机科学系"
"Chiribella, Giulio","计算机科学系"
"Choi, Yi King","人工智能与数据科学系；计算机科学系"
"Chow, Ka Ho","计算机科学系"
"Cui, Heming","计算机科学系"
"Dai, Bo","人工智能与数据科学系"
"Dougherty Alan William","人工智能与数据科学系；计算机科学系"
"Fang, Juanru","人工智能与数据科学系；计算机科学系"
"Feng, Weiming","计算机科学系"
"Gao, Shenghua","人工智能与数据科学系"
"Gašević, Dragan","人工智能与数据科学系"
"GONG, Peng","人工智能与数据科学系"
"Han, Kai","人工智能与数据科学系"
"Huang, Chao","人工智能与数据科学系"
"Huang, Zhiyi","计算机科学系"
"Jiang, Zuming","计算机科学系"
"Kao, Benjamin C.M.","人工智能与数据科学系"
"Kirkley, Alec William","人工智能与数据科学系"
"Komura, Taku","人工智能与数据科学系"
"Kong, Lingkai","人工智能与数据科学系"
"Kong, Lingpeng","人工智能与数据科学系"
"Lam, Tak-Wah","计算机科学系"
"Li, Hongyang","人工智能与数据科学系"
"Liang, Yingyu","人工智能与数据科学系"
"Liu, Chi Man","人工智能与数据科学系；计算机科学系"
"Liu, Qi","计算机科学系"
"Luo, Ping","人工智能与数据科学系"
"Luo, Ruibang","人工智能与数据科学系"
"Ma, Yi","人工智能与数据科学系"
"Oliveira, Bruno","计算机科学系"
"Pan, Jia","人工智能与数据科学系"
"Qian, Chenxiong","计算机科学系"
"Qian, Jian","人工智能与数据科学系"
"Qin, Shengzhi","计算机科学系"
"Qiu, Yiming","计算机科学系"
"Qu, Liangqiong","人工智能与数据科学系"
"Ramanathan, Ravishankar","计算机科学系"
"Schnieders, Dirk","人工智能与数据科学系；计算机科学系"
"Tam, Anthony T.C.","人工智能与数据科学系"
"Wang Yang (MATH)","人工智能与数据科学系"
"Wang, Xiao-Jing","计算机科学系"
"Wipf, David Paul","人工智能与数据科学系"
"Wong, Kenneth K.Y.","人工智能与数据科学系"
"Wu, Chenshu","计算机科学系"
"Wu, Chuan","计算机科学系"
"Wu, Zhenqin","人工智能与数据科学系"
"Xu, Dong","人工智能与数据科学系"
"Yang, Yanchao","人工智能与数据科学系"
"Yang, Yuxiang","计算机科学系"
"Yiu, Siu Ming","计算机科学系"
"Yu, Lequan","人工智能与数据科学系"
"Yu, Tao","人工智能与数据科学系"
"Yu, Yizhou","人工智能与数据科学系"
"Zhang, Zheng","人工智能与数据科学系"
"Zhao, Hengshuang","人工智能与数据科学系"
"Zhao, Qi","计算机科学系"
"Zou, Difan","人工智能与数据科学系"
