序,年份,文章阶段（发表/预印本）,是否为一作/通讯,文章标题,被引次数,引用统计日期,引用来源网址,摘要,关键词,研究方向,研究内容,创新点,合作者姓名及其工作单位
1,2019,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Learning and Evaluating General Linguistic Intelligence,未获取,未获取,未获取,"We define general linguistic intelligence as the ability to reuse previously acquired knowledge about a language's lexicon, syntax, semantics, and pragmatic conventions to adapt to new tasks quickly. Using this definition, we analyze state-of-the-art natural language understanding models and conduct an extensive empirical investigation to evaluate them against these criteria through a series of experiments that assess the task-independence of the knowledge being acquired by the learning process. In addition to task performance, we propose a new evaluation metric based on an online encoding of the test data that quantifies how quickly an existing agent (model) learns a new task. Our results show that while the field has made impressive progress in terms of model architectures that generalize to many tasks, these models still require a lot of in-domain training examples (e.g., for fine tuning, training task-specific modules), and are prone to catastrophic forgetting. Moreover, we find that far from solving general tasks (e.g., document question answering), our models are overfitting to the quirks of particular datasets (e.g., SQuAD). We discuss missing components and conjecture on how to make progress toward general linguistic intelligence.",分析提取：知识迁移；在线编码；学习效率；灾难性遗忘；语言理解,语言迁移与学习能力评测,"研究问题：语言模型能否复用词汇、句法和语义知识，快速适应新任务？
采用方法：用跨任务实验和在线编码指标衡量学习效率。",指出大量任务内样本依赖、灾难性遗忘和数据集偏差仍限制通用语言能力。,"Dani Yogatama：Google DeepMind
Cyprien de Masson d’Autume：Google DeepMind
Jerome Connor：Google DeepMind
Tomas Kocisky：Google DeepMind
Mike Chrzanowski：Google DeepMind
Angeliki Lazaridou：Google DeepMind
Wang Ling：Google DeepMind
Lei Yu：Google DeepMind
Chris Dyer：Google DeepMind
Phil Blunsom：Google DeepMind"
2,2018,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Neural Phrase-to-Phrase Machine Translation,未获取,未获取,未获取,"In this paper, we propose Neural Phrase-to-Phrase Machine Translation (NP$^2$MT). Our model uses a phrase attention mechanism to discover relevant input (source) segments that are used by a decoder to generate output (target) phrases. We also design an efficient dynamic programming algorithm to decode segments that allows the model to be trained faster than the existing neural phrase-based machine translation method by Huang et al. (2018). Furthermore, our method can naturally integrate with external phrase dictionaries during decoding. Empirical experiments show that our method achieves comparable performance with the state-of-the art methods on benchmark datasets. However, when the training and testing data are from different distributions or domains, our method performs better.",分析提取：短语翻译；注意力；动态规划；外部词典；跨域泛化,机器翻译,"研究问题：短语级翻译如何兼顾训练效率与跨域泛化？
采用方法：短语注意力结合动态规划，并在解码中接入外部短语词典。",在标准数据上保持竞争力，在训练与测试分布不同的场景下改善表现。,"Jiangtao Feng：复旦大学
Po-Sen Huang：Google DeepMind
Chong Wang：Google
Da Huang：Google
Jiayuan Mao：清华大学
Kan Qiao：Google
Dengyong Zhou：Google"
3,2018,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,Sentence Encoding with Tree-constrained Relation Networks,未获取,未获取,未获取,"The meaning of a sentence is a function of the relations that hold between its words. We instantiate this relational view of semantics in a series of neural models based on variants of relation networks (RNs) which represent a set of objects (for us, words forming a sentence) in terms of representations of pairs of objects. We propose two extensions to the basic RN model for natural language. First, building on the intuition that not all word pairs are equally informative about the meaning of a sentence, we use constraints based on both supervised and unsupervised dependency syntax to control which relations influence the representation. Second, since higher-order relations are poorly captured by a sum of pairwise relations, we use a recurrent extension of RNs to propagate information so as to form representations of higher order relations. Experiments on sentence classification, sentence pair classification, and machine translation reveal that, while basic RNs are only modestly effective for sentence representation, recurrent RNs with latent syntax are a reliably powerful representational device.",分析提取：句子编码；依存句法；关系网络；潜在结构；高阶关系,句法分析与结构化表示,"研究问题：句子表示如何利用词语间的高阶关系与句法结构？
采用方法：将监督或潜在依存树约束加入循环关系网络。",通过关系选择和多轮传播增强句子分类、句对分类与翻译表示。,"Lei Yu：Google DeepMind
Cyprien de Masson d’Autume：Google DeepMind
Chris Dyer：Google DeepMind
Phil Blunsom：Google DeepMind
Wang Ling：Google DeepMind"
4,2017,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,SyntaxNet Models for the CoNLL 2017 Shared Task,未获取,未获取,未获取,"We describe a baseline dependency parsing system for the CoNLL2017 Shared Task. This system, which we call ""ParseySaurus,"" uses the DRAGNN framework [Kong et al, 2017] to combine transition-based recurrent parsing and tagging with character-based word representations. On the v1.3 Universal Dependencies Treebanks, the new system outpeforms the publicly available, state-of-the-art ""Parsey's Cousins"" models by 3.47% absolute Labeled Accuracy Score (LAS) across 52 treebanks.",分析提取：依存分析；多语言；DRAGNN；字符表示；词性标注,句法分析与结构化表示,"研究问题：如何构建多语言依存句法分析的强基线？
采用方法：在DRAGNN中结合转移式循环分析、词性标注和字符级表示。",在52个Universal Dependencies树库上报告相对既有公开系统的准确率改进。,"Chris Alberti：Google
Daniel Andor：Google
Ivan Bogatyy：Google
Michael Collins：Google
Dan Gillick：Google
Terry Koo：Google
Ji Ma：Google
Mark Omernick：Google
Slav Petrov：Google
Chayut Thanapirom：Google
Zora Tung：Google
David Weiss：Google"
5,2017,预印本,一作 = 是（按作者顺序）；通讯 = 待核验,DRAGNN: A Transition-based Framework for Dynamically Connected Neural Networks,未获取,未获取,未获取,"In this work, we present a compact, modular framework for constructing novel recurrent neural architectures. Our basic module is a new generic unit, the Transition Based Recurrent Unit (TBRU). In addition to hidden layer activations, TBRUs have discrete state dynamics that allow network connections to be built dynamically as a function of intermediate activations. By connecting multiple TBRUs, we can extend and combine commonly used architectures such as sequence-to-sequence, attention mechanisms, and re-cursive tree-structured models. A TBRU can also serve as both an encoder for downstream tasks and as a decoder for its own task simultaneously, resulting in more accurate multi-task learning. We call our approach Dynamic Recurrent Acyclic Graphical Neural Networks, or DRAGNN. We show that DRAGNN is significantly more accurate and efficient than seq2seq with attention for syntactic dependency parsing and yields more accurate multi-task learning for extractive summarization tasks.",分析提取：动态计算图；循环网络；状态转移；结构化预测；多任务学习,句法分析与结构化表示,"研究问题：如何根据中间预测动态连接循环网络，同时支持多任务？
采用方法：提出带离散状态转移的TBRU单元并组合为DRAGNN。",同一单元可同时作为编码器和解码器，支持依存分析与抽取式摘要。,"Chris Alberti：Google
Daniel Andor：Google
Ivan Bogatyy：Google
David Weiss：Google"
6,2017,预印本,一作 = 否（按作者顺序）；通讯 = 待核验,DyNet: The Dynamic Neural Network Toolkit,未获取,未获取,未获取,"We describe DyNet, a toolkit for implementing neural network models based on dynamic declaration of network structure. In the static declaration strategy that is used in toolkits like Theano, CNTK, and TensorFlow, the user first defines a computation graph (a symbolic representation of the computation), and then examples are fed into an engine that executes this computation and computes its derivatives. In DyNet's dynamic declaration strategy, computation graph construction is mostly transparent, being implicitly constructed by executing procedural code that computes the network outputs, and the user is free to use different network structures for each input. Dynamic declaration thus facilitates the implementation of more complicated network architectures, and DyNet is specifically designed to allow users to implement their models in a way that is idiomatic in their preferred programming language (C++ or Python). One challenge with dynamic declaration is that because the symbolic computation graph is defined anew for every training example, its construction must have low overhead. To achieve this, DyNet has an optimized C++ backend and lightweight graph representation. Experiments show that DyNet's speeds are faster than or comparable with static declaration toolkits, and significantly faster than Chainer, another dynamic declaration toolkit. DyNet is released open-source under the Apache 2.0 license and available at http://github.com/clab/dynet.",分析提取：动态计算图；神经网络；自动求导；C++；Python,神经网络工具,"研究问题：动态网络结构如何兼顾编程灵活性和计算效率？
采用方法：以轻量计算图和优化的C++后端实现DyNet。",支持按输入动态构图及C++、Python接口，并报告与静态框架的速度比较。,"Graham Neubig：待核验
Chris Dyer：待核验
Yoav Goldberg：待核验
Austin Matthews：待核验
Waleed Ammar：待核验
Antonios Anastasopoulos：待核验
Miguel Ballesteros：待核验
David Chiang：待核验
Daniel Clothiaux：待核验
Trevor Cohn：待核验
Kevin Duh：待核验
Manaal Faruqui：待核验
Cynthia Gan：待核验
Dan Garrette：待核验
Yangfeng Ji：待核验
Adhiguna Kuncoro：待核验
Gaurav Kumar：待核验
Chaitanya Malaviya：待核验
Paul Michel：待核验
Yusuke Oda：待核验
Matthew Richardson：待核验
Naomi Saphra：待核验
Swabha Swayamdipta：待核验
Pengcheng Yin：待核验"
7,2014,预印本,一作 = 是（按作者顺序）；通讯 = 待核验,An Empirical Comparison of Parsing Methods for Stanford Dependencies,未获取,未获取,未获取,"Stanford typed dependencies are a widely desired representation of natural language sentences, but parsing is one of the major computational bottlenecks in text analysis systems. In light of the evolving definition of the Stanford dependencies and developments in statistical dependency parsing algorithms, this paper revisits the question of Cer et al. (2010): what is the tradeoff between accuracy and speed in obtaining Stanford dependencies in particular? We also explore the effects of input representations on this tradeoff: part-of-speech tags, the novel use of an alternative dependency representation as input, and distributional representaions of words. We find that direct dependency parsing is a more viable solution than it was found to be in the past. An accompanying software release can be found at: http://www.ark.cs.cmu.edu/TBSD",分析提取：依存句法；准确率；速度；词性标注；词表示,句法分析与结构化表示,"研究问题：获得Stanford依存结构时，准确率与速度如何取舍？
采用方法：比较分析算法、词性输入、替代依存表示和分布式词表示。",重新评估直接依存分析的可行性，并提供配套软件。,Noah A. Smith：卡内基梅隆大学
8,2025,发表,一作 = 否（按作者顺序）；通讯 = 待核验,A Survey on Large Language Model-Based Social Agents in Game-Theoretic Scenarios,未获取,未获取,未获取,"Game-theoretic scenarios have become pivotal in evaluating the social intelligence of Large Language Model (LLM)-based social agents. While numerous studies have explored these agents in such settings, there is a lack of a comprehensive survey summarizing the current progress. To address this gap, we systematically review existing research on LLM-based social agents within game-theoretic scenarios. Our survey organizes the findings into three core components: Game Framework, Social Agent, and Evaluation Protocol. The game framework encompasses diverse game scenarios, ranging from choice-focusing to communication-focusing games. The social agent part explores agents' preferences, beliefs, and reasoning abilities, as well as their interactions and synergistic effects on decision-making. The evaluation protocol covers both game-agnostic and game-specific metrics for assessing agent performance. Additionally, we analyze the performance of current social agents across various game scenarios. By reflecting on the current research and identifying future research directions, this survey provides insights to advance the development and evaluation of social agents in game-theoretic scenarios.",分析提取：社会智能；博弈；偏好；信念；评价协议,社会智能与角色控制,"研究问题：如何系统评价博弈场景下语言智能体的社会能力？
采用方法：按博弈框架、智能体和评价协议组织已有研究。",梳理偏好、信念、推理与交互对决策的影响，并总结研究空缺。,"Xiachong Feng：香港大学
Longxu Dou：独立研究者
Minzhi Li：待核验（PDF姓名为Ella Li）
Qinghao Wang：北京大学
Yu Guo：哈尔滨工业大学
Haochuan Wang：哈尔滨工业大学
Chang Ma：香港大学"
9,2025,发表,一作 = 否（按作者顺序）；通讯 = 否,Autoregressive Models in Vision: A Survey,未获取,未获取,未获取,"Autoregressive modeling has been a huge success in the field of natural language processing (NLP). Recently, autoregressive models have emerged as a significant area of focus in computer vision, where they excel in producing high-quality visual content. Autoregressive models in NLP typically operate on subword tokens. However, the representation strategy in computer vision can vary in different levels, i.e., pixel-level, token-level, or scale-level, reflecting the diverse and hierarchical nature of visual data compared to the sequential structure of language. This survey comprehensively examines the literature on autoregressive models applied to vision. To improve readability for researchers from diverse research backgrounds, we start with preliminary sequence representation and modeling in vision. Next, we divide the fundamental frameworks of visual autoregressive models into three general sub-categories, including pixel-based, token-based, and scale-based models based on the representation strategy. We then explore the interconnections between autoregressive models and other generative models. Furthermore, we present a multifaceted categorization of autoregressive models in computer vision, including image generation, video generation, 3D generation, and multimodal generation. We also elaborate on their applications in diverse domains, including emerging domains such as embodied AI and 3D medical AI, with about 250 related references. Finally, we highlight the current challenges to autoregressive models in vision with suggestions about potential research directions. We have also set up a Github repository to organize the papers included in this survey at: https://github.com/ChaofanTao/Autoregressive-Models-in-Vision-Survey.",分析提取：自回归；视觉生成；像素；词元；多尺度,视觉自回归生成,"研究问题：视觉自回归生成有哪些表示方式、框架与应用限制？
采用方法：按像素、词元和尺度级表示综述视觉自回归模型。",连接图像、视频、三维及多模态生成，并比较其他生成范式。,"Jing Xiong：待核验
Gongye Liu：待核验
Lun Huang：待核验
Chengyue Wu：待核验
Taiqiang Wu：待核验
Yao Mu：待核验
Yuan Yao：待核验
Hui Shen：待核验
Zhongwei Wan：待核验
Jinfa Huang：待核验
Chaofan Tao：待核验
Shen Yan：待核验
Huaxiu Yao：待核验
Hongxia Yang：待核验
Mi Zhang：待核验
Guillermo Sapiro：待核验
Jiebo Luo：待核验
Ping Luo：待核验
Ngai Wong：待核验"
10,2023,发表（待核验）,一作 = 否（按作者顺序）；通讯 = 否,Linearized Relative Positional Encoding,未获取,未获取,未获取,"Relative positional encoding is widely used in vanilla and linear transformers to represent positional information. However, existing encoding methods of a vanilla transformer are not always directly applicable to a linear transformer, because the latter requires a decomposition of the query and key representations into separate kernel functions. Nevertheless, principles for designing encoding methods suitable for linear transformers remain understudied. In this work, we put together a variety of existing linear relative positional encoding approaches under a canonical form and further propose a family of linear relative positional encoding algorithms via unitary transformation. Our formulation leads to a principled framework that can be used to develop new relative positional encoding methods that preserve linear space-time complexity. Equipped with different models, the proposed linearized relative positional encoding (LRPE) family derives effective encoding for various applications. Experiments show that compared with existing methods, LRPE achieves state-of-the-art performance in language modeling, text classification, and image classification. Meanwhile, it emphasizes a general paradigm for designing broadly more relative positional encoding methods that are applicable to linear transformers. The code is available at https://github.com/OpenNLPLab/Lrpe.",分析提取：相对位置编码；线性注意力；酉变换；序列建模；复杂度,高效注意力与序列架构,"研究问题：相对位置编码如何保留线性Transformer的复杂度优势？
采用方法：以规范形式和酉变换构造LRPE编码族。",给出可设计新编码方法的统一框架，并在语言和视觉任务验证。,"Zhen Qin：待核验
Weixuan Sun：待核验
Kaiyue Lu：待核验
Dongxu Li：待核验
Xiaodong Han：待核验
Yuchao Dai：待核验
Yiran Zhong：待核验"
